Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,COLE GROUP COLUMBIA 2,32 Columbia Gardens,,Cohoes,NY,12047,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.77094,-73.716286,11/20/2025,154056,20-11-2025 01:26,,,,02/27/2020,J1772
ELEC,Silo Ridge - Tesla Destination,4651 Highway 22,,Amenia,NY,12501,,877-798-3752,E,,Public,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.841447,-73.573197,07-01-2024,169104,12-02-2025 00:16,P,,,10/21/2015,TESLA
ELEC,NYC FLEET DPR_ICAHN_1_L3,10 Central Rd,,New York,NY,10035,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,40.792194,-73.92455,11/20/2025,170122,20-11-2025 01:21,,,,12-12-2020,CHADEMO J1772COMBO
ELEC,Village of Sodus Point,8482 Greig St.,,Sodus Point,NY,14555,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,https://www.evconnect.com,GPS,43.270176,-76.98107,11/20/2025,198011,20-11-2025 03:30,,,,10/19/2021,J1772
ELEC,CMH STATION 2,67 Prospect Ave,,Hudson,NY,12534,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.246461,-73.778774,11/20/2025,207592,20-11-2025 01:50,,,,03-04-2022,J1772
ELEC,35 Red Cross Pl,35 Red Cross Pl,,Brooklyn,NY,11201,,888-356-8911,E,,Public,24 hours daily,,,6,,,FLO,https://www.flo.com,GPS,40.699488,-73.989516,11/20/2025,226846,20-11-2025 03:52,,,,09-01-2022,J1772
ELEC,Bayport Fire District,251 Snedecor Ave.,,Bayport,NY,11705,,888-998-2546,E,,Public,24 hours daily,,,3,,,Blink Network,https://blinkcharging.com,GPS,40.745289,-73.052841,11/20/2025,228833,20-11-2025 00:28,,,,06-09-2022,J1772
ELEC,Popeyes,3401 Mickle Ave,,Bronx,NY,10469,,888-356-8911,E,,Public,24 hours daily,,,6,,,FLO,https://www.flo.com,GPS,40.876952,-73.845534,11/20/2025,250759,20-11-2025 03:53,,,,01/14/2023,J1772
ELEC,Days Inn Liberty,52 Sullivan Ave,,Liberty,NY,12754,,888-717-4544,E,,Public,24 hours daily,,,6,,,CHARGESMART_EV,https://chargesmartev.com,GPS,41.783836,-74.72946,11/20/2025,322287,20-11-2025 04:26,,,,12-07-2023,J1772
ELEC,31 W Tioga St,31 W Tioga St.,,Spencer,NY,14833,,833-611-5965,E,,Public,24 hours daily,,,4,,,VIALYNK,https://www.lynkwell.com,GPS,42.20934,-76.49448,11/20/2025,335769,20-11-2025 04:24,,,,05-08-2024,J1772
